,Global terrestrial,,Global forests,,Tropical,,Temperate,,Boreal,,,,,,,,,
,estimate ,error,estimate ,error,estimate ,error,estimate ,error,estimate ,error,time frame ,variable name in original pub,errror term type,method,notes,reference,additional reference (re-use),comparison notes
**C stock** (Pg C = Gt C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
biomass (Pg C),NI,NI,NI,NI,228.7,,NI,NI,NI,NI,,,,MODIS,,(Baccini et al 2012),,
,393.4,NI,362.6,NI,262.1,NI,46.6,NI,53.9,NI,,,,,forest biomass from Pan et al. 2011; other as cited in Pan et al. 2013,Pan et al. 2011,Pan et al. 2013 ,
,,,,,,,,,,,,,,,,,,
**C flux** (All Gt C yr-1=Pg C yr-1= 1000 Tg C yr-1. Sign convention: - is CO2 removal from atmosphere. ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
GPP ,-121.7,NI,-59,NI,-40.8,NI,-9.9,NI,-8.3,NI,,,,,,(Beer et al 2010),,
NPP,-62.6,NI,-32.6,NI,-21.9,NI,-8.1,NI,-2.6,NI,,,,,Saugier et al. 2001,,Pan et al. 2013,
Reco,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CO2 evasion (efflux/ respiration from inland waters ),2.12,,,,,,,,,,,,,,,Raymond et al 2013,,
,,,,,,,,,,,,,,,,,,
Deforestation (check type),NI,NI,NI,NI,1.0,,NI,NI,NI,NI,,,,MODIS + deforestation map,,(Baccini et al 2012),,
,+0.81 to + 1.14,,,,,,,,,,,,,,,citations 1-4 in (Baccini et al 2017),,
Deforestation- gross,NI,NI,NI,NI,0.268,,NI,NI,NI,NI,2003-2014,,,MODIS + LiDAR + machine learning,conservative estimate because captures only net change per grid cell; calculated as product of total losses and fraction of losses resulting from land use change (31.1)%,(Baccini et al 2017),,
,,,,,2.94,0.47,,,,,1990-2007,,,,,Pan et al. 2011,Schimel et al. 2015,
,,,,,3.03,0.49,,,,,1990-1999,,,,,Pan et al. 2011,,
,,,,,2.82,0.45,,,,,2000-2007,,,,,Pan et al. 2011,,
Deforestation- net,1.3,0.7,,,,,,,,,2007-2016 ,E_LUC,std,,,(Le Quéré et al 2017),,
,,,1.30,0.70,1.30,0.70,0,see note,0,see note,1990-2007,,,,Assumed zero in extratropics based on citations given in paper,Pan et al. 2011,,
,,,1.46,0.70,1.46,0.70,0,see note,0,see note,1990-1999,,,,Assumed zero in extratropics based on citations given in paper,Pan et al. 2011,,
,,,1.10,0.70,1.10,0.70,0,see note,0,see note,2000-2007,,,,Assumed zero in extratropics based on citations given in paper,Pan et al. 2011,,
,,,,,,,,,,,,,,,,,,
Degradation (gross),NI,NI,NI,NI,0.5937113,,NI,NI,NI,NI,2003-2014,,,MODIS + LiDAR + machine learning,conservative estimate because captures only net change per grid cell; calculated as product of total losses and fraction of losses resulting from land use change (68.9)%,(Baccini et al 2017),,
,,,,,,,,,,,,,,,,,,
Deforestation + Degradation (gross),NI,NI,NI,NI,0.8617,0.08,NI,NI,NI,NI,2003-2014,,,MODIS + LiDAR + machine learning,conservative estimate because captures only net change per grid cell; ,(Baccini et al 2017),,
,,,,,,,,,,,,,,,,,,
C gain: intact forest sink,,,,,-1.4,0.4,see note,see note,see note,see note,1990-2007,,,,-1.2±0.1 for temperate + boreal combined,Schimel et al. 2015,,Baccini et al. 2017 not strictly comparable because theirs only includes ag biomass and their may be lags between deforestation and emission. But the estimates still disagree
