"Biome","Age","n_records"
"Boreal broadleaf","MATURE",3
"Boreal conifer","MATURE",691
"Boreal Other","MATURE",53
"Other broadleaf","MATURE",8
"Other conifer","MATURE",42
"Other Other","MATURE",6
"Temperate broadleaf","MATURE",1015
"Temperate conifer","MATURE",878
"Temperate Other","MATURE",241
"Tropical broadleaf","MATURE",1339
"Tropical conifer","MATURE",3
"Tropical Other","MATURE",8
"Boreal broadleaf","YOUNG",420
"Boreal conifer","YOUNG",1548
"Boreal Other","YOUNG",335
"Other broadleaf","YOUNG",142
"Other conifer","YOUNG",89
"Other Other","YOUNG",41
"Temperate broadleaf","YOUNG",3654
"Temperate conifer","YOUNG",3519
"Temperate Other","YOUNG",2765
"Tropical broadleaf","YOUNG",1449
"Tropical conifer","YOUNG",18
"Tropical Other","YOUNG",2045
"Boreal broadleaf",NA,9
"Boreal conifer",NA,12
"Boreal Other",NA,2
"Other broadleaf",NA,14
"Other conifer",NA,6
"Other Other",NA,2
"Temperate broadleaf",NA,250
"Temperate conifer",NA,173
"Temperate Other",NA,144
"Tropical broadleaf",NA,134
"Tropical conifer",NA,0
"Tropical Other",NA,12
