"Variable","Parameter","Estimate","SE","$t_{value}$"
"$NEP$","log10(stand.age)",2.12,0.35,6
"$NEP$","BiomeTropical broadleaf",1.56,1.6,0.97
"$NEP$","BiomeTemperate broadleaf",-1.01,0.67,-1.51
"$NEP$","BiomeTemperate conifer",-0.2,0.6,-0.33
"$NEP$","BiomeBoreal conifer",-2.4,0.75,-3.22
"$GPP$","log10(stand.age)",4.25,0.99,4.28
"$GPP$","BiomeTropical broadleaf",25.89,3.42,7.58
"$GPP$","BiomeTemperate broadleaf",7.99,1.9,4.2
"$GPP$","BiomeTemperate conifer",10.02,1.54,6.52
"$GPP$","BiomeBoreal conifer",1.51,2.01,0.75
"$NPP$","log10(stand.age)",0.82,0.48,1.72
"$NPP$","BiomeTropical broadleaf",10.26,1.53,6.69
"$NPP$","BiomeTemperate broadleaf",5.61,0.96,5.83
"$NPP$","BiomeTemperate conifer",4.5,0.95,4.75
"$NPP$","BiomeBoreal conifer",2.34,1.2,1.95
"$ANPP$","log10(stand.age)",5.58,0.93,5.99
"$ANPP$","BiomeTropical broadleaf",-1.39,1.53,-0.91
"$ANPP$","BiomeTemperate broadleaf",2.29,0.98,2.34
"$ANPP$","BiomeTemperate conifer",1.72,0.91,1.89
"$ANPP$","BiomeBoreal conifer",0.9,1.21,0.75
"$ANPP$","log10(stand.age):BiomeTemperate broadleaf",-4.09,1.09,-3.74
"$ANPP$","log10(stand.age):BiomeTemperate conifer",-4.55,1.09,-4.18
"$ANPP$","log10(stand.age):BiomeBoreal conifer",-4.67,1.16,-4.03
"$ANPP_{woody}$","log10(stand.age)",2.96,3.89,0.76
"$ANPP_{woody}$","BiomeTemperate broadleaf",-2.34,6.94,-0.34
"$ANPP_{woody}$","BiomeTemperate conifer",-0.05,0.89,-0.06
"$ANPP_{woody}$","BiomeBoreal conifer",0.71,1.9,0.37
"$ANPP_{woody}$","log10(stand.age):BiomeTemperate conifer",-1.03,3.9,-0.26
"$ANPP_{woody}$","log10(stand.age):BiomeBoreal conifer",-2.36,4.04,-0.59
"$ANPP_{stem}$","log10(stand.age)",-0.02,0.83,-0.03
"$ANPP_{stem}$","BiomeTropical broadleaf",2.37,1.25,1.9
"$ANPP_{stem}$","BiomeTemperate broadleaf",2.86,0.66,4.3
"$ANPP_{stem}$","BiomeTemperate conifer",-0.83,0.75,-1.1
"$ANPP_{stem}$","BiomeBoreal conifer",-0.38,1.65,-0.23
"$ANPP_{stem}$","log10(stand.age):BiomeTemperate broadleaf",-0.04,0.92,-0.04
"$ANPP_{stem}$","log10(stand.age):BiomeTemperate conifer",2.28,0.96,2.39
"$ANPP_{stem}$","log10(stand.age):BiomeBoreal conifer",0.78,1.3,0.6
"$ANPP_{branch}$","log10(stand.age)",0.16,0.17,0.93
"$ANPP_{branch}$","BiomeTemperate broadleaf",0.4,0.34,1.17
"$ANPP_{branch}$","BiomeTemperate conifer",0.06,0.28,0.22
"$ANPP_{branch}$","BiomeBoreal conifer",0.1,0.4,0.24
"$ANPP_{foliage}$","log10(stand.age)",1.33,0.16,8.32
"$ANPP_{foliage}$","BiomeTropical broadleaf",0.53,0.64,0.83
"$ANPP_{foliage}$","BiomeTemperate broadleaf",-0.14,0.33,-0.43
"$ANPP_{foliage}$","BiomeTemperate conifer",-0.48,0.3,-1.58
"$ANPP_{foliage}$","BiomeBoreal conifer",-1.51,0.38,-3.94
"$ANPP_{litterfall}$","log10(stand.age)",0.69,1.06,0.65
"$ANPP_{litterfall}$","BiomeTropical broadleaf",2.65,1.53,1.73
"$ANPP_{litterfall}$","BiomeTemperate broadleaf",0.8,1.9,0.42
"$ANPP_{litterfall}$","BiomeTemperate conifer",0.74,2.25,0.33
"$ANPP_{litterfall}$","BiomeBoreal conifer",-0.71,2.19,-0.33
"$ANPP_{repro}$","log10(stand.age)",0.69,1.06,0.65
"$ANPP_{repro}$","BiomeTropical broadleaf",2.65,1.53,1.73
"$ANPP_{repro}$","BiomeTemperate broadleaf",0.8,1.9,0.42
"$ANPP_{repro}$","BiomeTemperate conifer",0.74,2.25,0.33
"$ANPP_{repro}$","BiomeBoreal conifer",-0.71,2.19,-0.33
"$ANPP_{folivory}$","log10(stand.age)",0.69,1.06,0.65
"$ANPP_{folivory}$","BiomeTropical broadleaf",2.65,1.53,1.73
"$ANPP_{folivory}$","BiomeTemperate broadleaf",0.8,1.9,0.42
"$ANPP_{folivory}$","BiomeTemperate conifer",0.74,2.25,0.33
"$ANPP_{folivory}$","BiomeBoreal conifer",-0.71,2.19,-0.33
"$M_{woody}$","log10(stand.age)",0.69,1.06,0.65
"$M_{woody}$","BiomeTropical broadleaf",2.65,1.53,1.73
"$M_{woody}$","BiomeTemperate broadleaf",0.8,1.9,0.42
"$M_{woody}$","BiomeTemperate conifer",0.74,2.25,0.33
"$M_{woody}$","BiomeBoreal conifer",-0.71,2.19,-0.33
"$BNPP$","log10(stand.age)",0.84,0.25,3.36
"$BNPP$","BiomeTropical broadleaf",2.76,0.67,4.11
"$BNPP$","BiomeTemperate broadleaf",0.9,0.47,1.94
"$BNPP$","BiomeTemperate conifer",0.86,0.45,1.9
"$BNPP$","BiomeBoreal conifer",0.08,0.59,0.14
"$BNPP_{coarse}$","log10(stand.age)",0.09,0.09,1
"$BNPP_{coarse}$","BiomeTemperate broadleaf",0.31,0.16,1.99
"$BNPP_{coarse}$","BiomeTemperate conifer",0.59,0.15,3.92
"$BNPP_{coarse}$","BiomeBoreal conifer",0.09,0.18,0.5
"$BNPP_{fine}$ ","log10(stand.age)",0.91,0.24,3.84
"$BNPP_{fine}$ ","BiomeTropical broadleaf",2.87,0.51,5.6
"$BNPP_{fine}$ ","BiomeTemperate broadleaf",0.05,0.39,0.13
"$BNPP_{fine}$ ","BiomeTemperate conifer",0.2,0.38,0.54
"$BNPP_{fine}$ ","BiomeBoreal conifer",-0.09,0.48,-0.19
"$R_{eco}$","log10(stand.age)",1.4,0.56,2.49
"$R_{eco}$","BiomeTropical broadleaf",25.78,2.62,9.84
"$R_{eco}$","BiomeTemperate broadleaf",9.63,1.19,8.08
"$R_{eco}$","BiomeTemperate conifer",10.01,0.99,10.14
"$R_{eco}$","BiomeBoreal conifer",5.09,1.37,3.71
"$R_{auto}$","log10(stand.age)",1.4,0.56,2.49
"$R_{auto}$","BiomeTropical broadleaf",25.78,2.62,9.84
"$R_{auto}$","BiomeTemperate broadleaf",9.63,1.19,8.08
"$R_{auto}$","BiomeTemperate conifer",10.01,0.99,10.14
"$R_{auto}$","BiomeBoreal conifer",5.09,1.37,3.71
"$R_{auto-ag}$","log10(stand.age)",1.4,0.56,2.49
"$R_{auto-ag}$","BiomeTropical broadleaf",25.78,2.62,9.84
"$R_{auto-ag}$","BiomeTemperate broadleaf",9.63,1.19,8.08
"$R_{auto-ag}$","BiomeTemperate conifer",10.01,0.99,10.14
"$R_{auto-ag}$","BiomeBoreal conifer",5.09,1.37,3.71
"$R_{root}$","log10(stand.age)",5,1.44,3.47
"$R_{root}$","BiomeTropical broadleaf",3.29,1.7,1.94
"$R_{root}$","BiomeTemperate broadleaf",2.53,1.2,2.1
"$R_{root}$","BiomeTemperate conifer",2.82,0.92,3.07
"$R_{root}$","BiomeBoreal conifer",0.9,1.81,0.5
"$R_{root}$","log10(stand.age):BiomeTemperate broadleaf",-4.13,1.63,-2.53
"$R_{root}$","log10(stand.age):BiomeTemperate conifer",-4.5,1.56,-2.88
"$R_{root}$","log10(stand.age):BiomeBoreal conifer",-4.61,1.77,-2.6
"$R_{soil}$","log10(stand.age)",2.83,1.06,2.66
"$R_{soil}$","BiomeTropical broadleaf",11.23,1.38,8.13
"$R_{soil}$","BiomeTemperate broadleaf",7.19,0.75,9.57
"$R_{soil}$","BiomeTemperate conifer",8.87,0.64,13.85
"$R_{soil}$","BiomeBoreal conifer",4.55,1.23,3.71
"$R_{soil}$","log10(stand.age):BiomeTemperate broadleaf",-1.36,1.15,-1.19
"$R_{soil}$","log10(stand.age):BiomeTemperate conifer",-3.28,1.12,-2.93
"$R_{soil}$","log10(stand.age):BiomeBoreal conifer",-2.56,1.23,-2.09
"$R_{het-soil}$","log10(stand.age)",0.26,0.43,0.61
"$R_{het-soil}$","BiomeTropical broadleaf",7.25,0.96,7.56
"$R_{het-soil}$","BiomeTemperate broadleaf",4.06,0.78,5.18
"$R_{het-soil}$","BiomeTemperate conifer",3.82,0.74,5.16
"$R_{het-soil}$","BiomeBoreal conifer",2.64,1.02,2.58
"$B_{tot}$","log10(stand.age)",46.57,8.37,5.57
"$B_{tot}$","BiomeTropical broadleaf",-1.23,20.81,-0.06
